agency_name,complaint_type,descriptor,location_type,incident_zip,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,resolution_description,community_board,bbl,borough,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,progress_duration,created_year,resolution_action_updated_year
Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,10031,AMSTERDAM AVENUE,,,,,ADDRESS,NEW YORK,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 MANHATTAN,10031,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10468,CEDAR AVENUE,WEST  179 STREET,WEST  182 STREET,WEST  179 STREET,WEST  182 STREET,ADDRESS,BRONX,CEDAR AVENUE,,Closed,The Police Department reviewed your complaint and provided additional information below.,07 BRONX,10468,BRONX,MOBILE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,MARCY PLACE,WALTON AVENUE,GRAND CONCOURSE,WALTON AVENUE,GRAND CONCOURSE,ADDRESS,BRONX,MARCY PLACE,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04 BRONX,10452,BRONX,MOBILE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10461,LURTING AVENUE,PIERCE AVENUE,VAN NEST AVENUE,PIERCE AVENUE,VAN NEST AVENUE,ADDRESS,BRONX,LURTING AVENUE,,In Progress,,11 BRONX,10461,BRONX,ONLINE,,BRONX,Car,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11226,ROGERS AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,17 BROOKLYN,11226,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10456,WASHINGTON AVENUE,ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03 BRONX,10456,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,BUSHWICK AVENUE,BUSHWICK AVENUE,HANCOCK STREET,BUSHWICK AVENUE,HANCOCK STREET,INTERSECTION,,,,In Progress,,04 BROOKLYN,11221,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,11201,PACIFIC STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,02 BROOKLYN,11201,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11201,PACIFIC STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,02 BROOKLYN,11201,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11201,PACIFIC STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,02 BROOKLYN,11201,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,11201,PACIFIC STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,02 BROOKLYN,11201,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,10473,TAYLOR AVENUE,SEWARD AVENUE,LAFAYETTE AVENUE,SEWARD AVENUE,LAFAYETTE AVENUE,ADDRESS,BRONX,TAYLOR AVENUE,,In Progress,,09 BRONX,10473,BRONX,ONLINE,,BRONX,,,,,,,,Ongoing,2024,
Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10455,AVENUE ST JOHN,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,02 BRONX,10455,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11212,BRISTOL STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,16 BROOKLYN,11212,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10465,CLARENCE AVENUE,PHILIP AVENUE,LAFAYETTE AVENUE,PHILIP AVENUE,LAFAYETTE AVENUE,ADDRESS,BRONX,CLARENCE AVENUE,,In Progress,,10 BRONX,10465,BRONX,PHONE,,BRONX,,,,,,,,Ongoing,2024,
Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,11372,34 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,03 QUEENS,11372,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11372,34 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,03 QUEENS,11372,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11372,34 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,03 QUEENS,11372,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11372,34 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,03 QUEENS,11372,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11372,34 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,03 QUEENS,11372,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11372,34 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,03 QUEENS,11372,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,SAFETY,SMOKE DETECTOR,RESIDENTIAL BUILDING,11372,34 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,03 QUEENS,11372,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,11372,34 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,03 QUEENS,11372,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,SAFETY,CARBON MONOXIDE DETECTOR,RESIDENTIAL BUILDING,11372,34 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,03 QUEENS,11372,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11372,34 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,03 QUEENS,11372,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11372,34 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,03 QUEENS,11372,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11372,34 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,03 QUEENS,11372,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11225,FENIMORE STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 BROOKLYN,11225,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11225,FENIMORE STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 BROOKLYN,11225,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11225,FENIMORE STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 BROOKLYN,11225,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,11225,FENIMORE STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 BROOKLYN,11225,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11225,FENIMORE STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 BROOKLYN,11225,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10452,WEST  162 STREET,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,04 BRONX,10452,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10029,1 AVENUE,EAST  115 STREET,EAST  116 STREET,EAST  115 STREET,EAST  116 STREET,ADDRESS,NEW YORK,1 AVENUE,,Closed,The Police Department responded to the complaint and took action to fix the condition.,11 MANHATTAN,10029,MANHATTAN,MOBILE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11377,43 AVENUE,69 STREET,72 STREET,69 STREET,72 STREET,ADDRESS,WOODSIDE,43 AVENUE,,Closed,The Police Department issued a summons in response to the complaint.,02 QUEENS,11377,QUEENS,PHONE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10019,WEST   57 STREET,9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,ADDRESS,NEW YORK,WEST   57 STREET,,Closed,The Police Department responded to the complaint and took action to fix the condition.,04 MANHATTAN,10019,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11377,39 AVENUE,63 STREET,64 STREET,63 STREET,64 STREET,ADDRESS,WOODSIDE,39 AVENUE,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02 QUEENS,11377,QUEENS,MOBILE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10463,KINGSBRIDGE TERRACE,WEST KINGSBRIDGE ROAD,WEST  229 STREET,WEST KINGSBRIDGE ROAD,WEST  229 STREET,ADDRESS,BRONX,KINGSBRIDGE TERRACE,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,08 BRONX,10463,BRONX,MOBILE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11230,EAST   15 STREET,AVENUE J,AVENUE K,AVENUE J,AVENUE K,ADDRESS,BROOKLYN,EAST   15 STREET,,Closed,The Police Department issued a summons in response to the complaint.,14 BROOKLYN,11230,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10459,REV JAMES POLITE AVENUE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,02 BRONX,10459,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10459,REV JAMES POLITE AVENUE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,02 BRONX,10459,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10459,REV JAMES POLITE AVENUE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,02 BRONX,10459,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10459,REV JAMES POLITE AVENUE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,02 BRONX,10459,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10459,REV JAMES POLITE AVENUE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,02 BRONX,10459,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Pothole,,11355,ROSE AVENUE,BOWNE STREET,PARSONS BOULEVARD,,,BLOCKFACE,QUEENS,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,07 QUEENS,11355,QUEENS,,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10459,REV JAMES POLITE AVENUE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,02 BRONX,10459,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11213,HAMPTON PLACE,STERLING PLACE,ST JOHNS PLACE,STERLING PLACE,ST JOHNS PLACE,ADDRESS,BROOKLYN,HAMPTON PLACE,,In Progress,,08 BROOKLYN,11213,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11205,VANDERBILT AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,02 BROOKLYN,11205,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11217,ST MARKS AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,06 BROOKLYN,11217,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10455,FOX STREET,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,02 BRONX,10455,BRONX,MOBILE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,GRAND STREET,MULBERRY STREET,MOTT STREET,MULBERRY STREET,MOTT STREET,ADDRESS,NEW YORK,GRAND STREET,,Closed,The Police Department responded to the complaint and took action to fix the condition.,02 MANHATTAN,10013,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11232,43 STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,12 BROOKLYN,11232,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11226,LINDEN BOULEVARD,,,,,ADDRESS,BROOKLYN,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,17 BROOKLYN,11226,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10456,WASHINGTON AVENUE,ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,,Closed,The Police Department responded to the complaint and took action to fix the condition.,03 BRONX,10456,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,11435,PINEGROVE STREET,LIBERTY AVENUE,105 AVENUE,LIBERTY AVENUE,105 AVENUE,ADDRESS,JAMAICA,PINEGROVE STREET,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,12 QUEENS,11435,QUEENS,MOBILE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10032,ST NICHOLAS PLACE,,,,,ADDRESS,NEW YORK,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 MANHATTAN,10032,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10128,EAST   87 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   87 STREET,,In Progress,,08 MANHATTAN,10128,MANHATTAN,MOBILE,,MANHATTAN,,,,,,,,Ongoing,2024,
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11420,128 STREET,128 STREET,LINDEN BOULEVARD,128 STREET,LINDEN BOULEVARD,INTERSECTION,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,10 QUEENS,11420,QUEENS,PHONE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11101,45 AVENUE,,,,,ADDRESS,LONG ISLAND CITY,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,02 QUEENS,11101,QUEENS,MOBILE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11208,WORTMAN AVENUE,PINE STREET,CRESCENT STREET,PINE STREET,CRESCENT STREET,ADDRESS,BROOKLYN,WORTMAN AVENUE,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,05 BROOKLYN,11208,BROOKLYN,PHONE,,BROOKLYN,SUV,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10452,OGDEN AVENUE,,,,,ADDRESS,BRONX,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,04 BRONX,10452,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11374,HARING STREET,63 AVENUE,63 DRIVE,63 AVENUE,63 DRIVE,ADDRESS,REGO PARK,HARING STREET,,In Progress,,06 QUEENS,11374,QUEENS,PHONE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10472,BEACH AVENUE,EAST  172 STREET,MCGRAW AVENUE,EAST  172 STREET,MCGRAW AVENUE,ADDRESS,BRONX,BEACH AVENUE,,In Progress,,09 BRONX,10472,BRONX,PHONE,,BRONX,,,,,,,,Ongoing,2024,
New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11378,58 AVENUE,QUEENS MIDTOWN EXPRESSWAY,73 STREET,QUEENS MIDTOWN EXPRESSWAY,73 STREET,ADDRESS,MASPETH,58 AVENUE,,In Progress,,05 QUEENS,11378,QUEENS,PHONE,,QUEENS,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10460,EAST TREMONT AVENUE,BRONX RIVER PARKWAY,VAN NEST AVENUE,BRONX RIVER PARKWAY,VAN NEST AVENUE,ADDRESS,BRONX,EAST TREMONT AVENUE,,In Progress,,09 BRONX,10460,BRONX,MOBILE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11235,CONEY ISLAND AVENUE,AVENUE Y,GERALD COURT,AVENUE Y,GERALD COURT,ADDRESS,BROOKLYN,CONEY ISLAND AVENUE,,Closed,The Police Department responded to the complaint and took action to fix the condition.,15 BROOKLYN,11235,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11355,57 ROAD,LAWRENCE STREET,134 STREET,LAWRENCE STREET,134 STREET,ADDRESS,FLUSHING,57 ROAD,,In Progress,,07 QUEENS,11355,QUEENS,PHONE,,QUEENS,,,,,,,,Ongoing,2024,
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11416,94 STREET,101 AVENUE,103 AVENUE,101 AVENUE,103 AVENUE,ADDRESS,OZONE PARK,94 STREET,,In Progress,,09 QUEENS,11416,QUEENS,MOBILE,,QUEENS,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11214,BATH AVENUE,20 AVENUE,BAY   25 STREET,20 AVENUE,BAY   25 STREET,ADDRESS,BROOKLYN,BATH AVENUE,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11 BROOKLYN,11214,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11216,BERGEN STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,08 BROOKLYN,11216,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11225,BEDFORD AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 BROOKLYN,11225,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10456,WASHINGTON AVENUE,ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03 BRONX,10456,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10032,WEST  164 STREET,,,,,ADDRESS,NEW YORK,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,12 MANHATTAN,10032,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11233,ST MARKS AVENUE,BUFFALO AVENUE,RALPH AVENUE,BUFFALO AVENUE,RALPH AVENUE,ADDRESS,BROOKLYN,ST MARKS AVENUE,,In Progress,,08 BROOKLYN,11233,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10012,MULBERRY STREET,SPRING ST,PRINCE ST,,,ADDRESS,NEW YORK,,,Open,,02 MANHATTAN,10012,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Ongoing,2024,
